doc_id,category
1160_KennedyIchbin,moderate
142Thunberg,moderate
1945 Labour Party Manifesto -,moderate
1949_simone-de-beauvoir-the-second-sex,moderate
Atlantic-Charter,moderate
Communist Manifesto,extreme
DefeatingEurabia1,extreme
Earnest-Manifesto-042719,violent
"Four Freedoms Speech, Franklin Delano Roosevelt (1)",moderate
Full_text_I_Have_a_Dream_,moderate
Hitler_Adolf_-_Mein_Kampf,violent
Imperium - Yockey,extreme
"Maududi, Sayyid Abul A'la - Al Jihad Fil Islam by Syed Abul Aala Maududi",extreme
"Pierce, William L. - FREE SPEECH ESSAYS 1995-2002",extreme
PortHuronStatement,extreme
Revolt Against The Modern World - Julius Evola,extreme
"Russian Imperial Manifesto, Announcing the Start of War in August 1914",moderate
anders_breivik_-_2083_manifesto_-_2011,violent
brenton-tarrant-the-great-replacement-manifesto,violent
cho_manifesto_1.1,violent
milestones-f1,violent
patrick_crusius_-_the_inconvenient_truth_about_me,violent
rodger_manifesto,violent
roofmanifesto,violent
ted-kaczynski-industrial-society-and-its-future-copy-sent-to-the-post,extreme
the state and revolution - lenin,extreme
the urban guerilla concept,extreme
the-lawful-and-the-prohibited-in-islam_text,extreme
universal declaration of human rights,moderate
velayat_faqeeh - Khomeini,extreme
what is to be done - lenin,extreme
